pagePath,region,percentScrolled,eventName,newVsReturning,city,dateHour,crashFreeUsersRate,bounceRate,engagementRate,userEngagementDuration,scrolledUsers,totalUsers,sessions
/store,Texas,,page_view,returning,San Antonio,2023112214,1,0,1,0,0,2,2
/,Delhi,,page_view,new,Delhi,2023100603,1,0,1,0,0,1,1
/store,Texas,,session_start,(not set),San Antonio,2023092106,1,1,0,0,0,1,1
/store,Texas,,session_start,(not set),San Antonio,2023092408,1,1,0,0,0,1,1
/store,Texas,,session_start,new,San Antonio,2023092413,1,1,0,0,0,1,1
/store,Texas,,session_start,returning,Dallas,2023092921,1,1,0,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023092020,1,0,1,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023092113,1,0,1,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023092121,1,0,1,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023092311,1,0,1,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023092316,1,1,0,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023112209,1,0,1,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023112213,1,0,1,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023112214,1,0,1,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023112215,1,1,0,0,0,1,1
/store,Texas,,session_start,returning,San Antonio,2023112509,1,0,1,0,0,1,1
/store,Texas,,user_engagement,new,Robstown,2023092207,1,0,1,13,0,1,1
/store,Texas,,user_engagement,new,San Antonio,2023092919,1,0,1,7,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023092014,1,0,1,11,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023092111,1,0,1,2,0,1,1
/,Texas,,page_view,new,Canton,2023100719,1,1,0,0,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023092113,1,0,1,0,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023092119,1,0,1,2,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023092121,1,0,1,94,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023092314,1,0,1,9,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023092321,1,0,1,17,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023111720,1,0,1,2,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023112119,1,0,1,15,0,1,1
/,New York,,page_view,new,New York,2023100812,1,1,0,0,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023112211,1,0,1,30,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023112213,1,0,1,0,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023112214,1,0,1,41,0,2,2
/store,Texas,,user_engagement,returning,San Antonio,2023112215,1,1,0,0,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023112509,1,0,1,19,0,1,1
/store,Texas,90,scroll,new,Dallas,2023092919,1,0,1,19,1,1,1
/store,Texas,90,scroll,new,Robstown,2023092207,1,0,1,10,1,1,1
/store,Texas,90,scroll,new,San Antonio,2023092416,1,0,1,0,1,1,1
/store,Texas,90,scroll,new,San Antonio,2023092919,1,0,1,40,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023092010,1,0,1,10,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023092014,1,0,1,2,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023092020,1,0,1,6,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023092112,1,0,1,3,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023092121,1,0,1,13,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023092311,1,0,1,0,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023092313,1,0,1,0,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023092314,1,0,1,0,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023092316,1,1,0,0,1,1,1
/store,Texas,,page_view,new,San Antonio,2023100818,1,0,1,0,0,1,1
/store,Texas,90,scroll,returning,San Antonio,2023112119,1,0,1,20,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023112206,1,0,1,0,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023112207,1,0,1,0,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023112209,1,0,1,0,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023112211,1,0,1,57,1,1,1
/,Oregon,,page_view,new,Boardman,2023101510,1,1,0,0,0,1,1
/store,Tokyo,,page_view,new,Shibuya City,2023092022,1,0,1,0,0,1,1
/store,Tokyo,,user_engagement,new,Shibuya City,2023092022,1,0,1,6,0,1,1
/store,Virginia,,page_view,new,Danville,2023092123,1,0,1,0,0,1,1
/store,Virginia,,page_view,new,Purcellville,2023091919,1,0,1,0,0,1,1
/store,Virginia,90,scroll,new,Danville,2023092123,1,0,1,10,1,1,1
/store,Virginia,90,scroll,new,Purcellville,2023091919,1,0,1,15,1,1,1
/store,Washington,,page_view,new,Seattle,2023092319,1,0,1,0,0,1,1
/store,Washington,90,scroll,new,Seattle,2023092319,1,0,1,13,1,1,1
/store,Wisconsin,,page_view,new,Brookfield,2023092020,1,0,1,0,0,1,1
/store,Wisconsin,,user_engagement,new,Brookfield,2023092020,1,0,1,5,0,1,1
/store,Wisconsin,90,scroll,new,Brookfield,2023092020,1,0,1,11,1,1,1
/store/br,Texas,,page_view,returning,San Antonio,2023092111,1,0,1,0,0,1,1
/store/br,Texas,,user_engagement,returning,San Antonio,2023092111,1,0,1,3,0,1,1
/,(not set),,page_view,new,(not set),2023102207,1,1,0,0,0,1,1
/store/br,Tokyo,,page_view,new,Shibuya City,2023092022,1,0,1,0,0,1,1
/store/br,Tokyo,,user_engagement,new,Shibuya City,2023092022,1,0,1,2,0,1,1
/store/br,Tokyo,90,scroll,new,Shibuya City,2023092022,1,0,1,1,1,1,1
/,(not set),,page_view,new,(not set),2023110523,1,0,1,0,0,1,1
/store/hats,California,90,scroll,new,Anaheim,2023092315,1,0,1,2,1,1,1
/,Texas,,page_view,new,San Antonio,2023110605,1,1,0,0,0,1,1
/store/hats,Texas,,page_view,returning,San Antonio,2023112206,1,0,1,0,0,1,1
/store/hats,Texas,,user_engagement,returning,San Antonio,2023092314,1,0,1,2,0,1,1
/,Texas,90,scroll,new,San Antonio,2023111215,1,0,1,3,1,1,1
/store/hoodies,Tennessee,,page_view,new,Loudon,2023092320,1,0,1,0,0,1,1
/store/hoodies,Tennessee,90,scroll,new,Loudon,2023092320,1,0,1,1,1,1,1
/,Texas,,page_view,returning,San Antonio,2023111417,1,1,0,0,0,1,1
/store/hoodies,Texas,,page_view,returning,San Antonio,2023092314,1,0,1,0,0,1,1
/,Texas,90,scroll,returning,San Antonio,2023111420,1,0,1,6,1,1,1
/store/jackets,Texas,,page_view,returning,San Antonio,2023092314,1,0,1,0,0,1,1
/store/jackets,Texas,,user_engagement,returning,San Antonio,2023092314,1,0,1,6,0,1,1
/store/patches,Texas,,page_view,returning,San Antonio,2023111720,1,0,1,0,0,1,1
/store/patches,Texas,,user_engagement,returning,San Antonio,2023111720,1,0,1,3,0,1,1
/store/patches,Texas,,page_view,returning,San Antonio,2023111720,1,0,1,0,0,1,1
/store/hoodie,California,,user_engagement,new,Pittsburg,2023092115,1,0,1,28,0,1,1
/store/hoodie,California,90,scroll,new,Pittsburg,2023092115,1,0,1,0,1,1,1
/store/hoodie,Illinois,,page_view,new,Chicago,2023092303,1,0,1,0,0,1,1
/store/hoodie,Illinois,,user_engagement,new,Chicago,2023092303,1,0,1,18,0,1,1
/,Texas,,page_view,returning,San Antonio,2023112117,1,0,1,0,0,1,1
/store/hoodie,Minnesota,,user_engagement,new,West Saint Paul,2023092005,1,0,1,1,0,1,1
/,Texas,,click,returning,San Antonio,2023112119,1,0,1,4,0,1,1
/store/hoodie,Texas,,page_view,returning,San Antonio,2023092112,1,0,1,0,0,1,1
/,Texas,,page_view,returning,San Antonio,2023112119,1,0,1,0,0,2,2
/store/hoodie,Texas,,session_start,returning,San Antonio,2023092119,1,0,1,0,0,1,1
/store/hoodie,Texas,,user_engagement,returning,San Antonio,2023092114,1,0,1,3,0,1,1
/store/hoodie,Texas,,user_engagement,returning,San Antonio,2023092119,1,0,1,2,0,1,1
/store/hoodie,Texas,90,scroll,returning,San Antonio,2023092112,1,0,1,3,1,1,1
/store/hat,Texas,,page_view,returning,San Antonio,2023092112,1,0,1,0,0,1,1
/store,Texas,,page_view,returning,San Antonio,2023112119,1,0,1,0,0,1,1
/store/hat,Texas,,user_engagement,returning,San Antonio,2023092119,1,0,1,1,0,1,1
/store/hat,Tokyo,,page_view,new,Shibuya City,2023092022,1,0,1,0,0,1,1
/store,Texas,,page_view,returning,San Antonio,2023112206,1,0,1,0,0,1,1
/store/hat,Wisconsin,,user_engagement,new,Brookfield,2023092020,1,0,1,3,0,1,1
/store/patches,Texas,90,scroll,returning,San Antonio,2023112206,1,0,1,0,1,1,1
/store/br-trump-stickers,Texas,,page_view,returning,San Antonio,2023112214,1,0,1,0,0,1,1
/store/br-unisex-columbia-fleece-jacket,Texas,,page_view,returning,San Antonio,2023092121,1,0,1,0,0,1,1
/store/stickers,Texas,,page_view,returning,San Antonio,2023112206,1,0,1,0,0,1,1
/store/br-unisex-columbia-fleece-jacket,Tokyo,,user_engagement,new,Shibuya City,2023092022,1,0,1,4,0,1,1
/store/br-t-hat,Texas,,page_view,returning,San Antonio,2023112215,1,0,1,0,0,1,1
/store/hoodie,Texas,,page_view,returning,San Antonio,2023112214,1,0,1,0,0,1,1
/store,Texas,,user_engagement,returning,San Antonio,2023112207,1,0,1,1,0,1,1
/store/hoodie,Texas,,session_start,returning,San Antonio,2023112215,1,0,1,0,0,1,1
/store/hoodie,Texas,,user_engagement,returning,San Antonio,2023112215,1,0,1,0,0,1,1
/store/hoodie,Texas,90,scroll,returning,San Antonio,2023112214,1,0,1,0,1,1,1
/about,Texas,,page_view,returning,San Antonio,2023112211,1,0,1,0,0,1,1
/store/t-shirt,Texas,,page_view,returning,San Antonio,2023092321,1,0,1,0,0,1,1
/store/t-shirt,Texas,,page_view,returning,San Antonio,2023092418,1,1,0,0,0,1,1
/store/t-shirt,Texas,,page_view,returning,San Antonio,2023092419,1,1,0,0,0,1,1
/store/t-shirt,Texas,,session_start,returning,San Antonio,2023092418,1,1,0,0,0,1,1
/store/t-shirt,Texas,,session_start,returning,San Antonio,2023092419,1,1,0,0,0,1,1
/store/t-shirt,Texas,,user_engagement,returning,San Antonio,2023092321,1,0,1,21,0,1,1
/store/t-shirt,Texas,,user_engagement,returning,San Antonio,2023092418,1,1,0,0,0,1,1
/store/t-shirt,Texas,90,scroll,returning,San Antonio,2023092321,1,0,1,25,1,1,1
/contact-us,Texas,90,scroll,returning,San Antonio,2023112211,1,0,1,0,1,1,1
/store/shirt,Tennessee,,user_engagement,new,Elizabethton,2023092004,1,0,1,3,0,1,1
/store/shirt,Texas,,page_view,returning,San Antonio,2023092111,1,0,1,0,0,1,1
/store,California,,page_view,new,Sacramento,2023112211,1,0,1,0,0,1,1
/store/shirt,Texas,,user_engagement,returning,San Antonio,2023092114,1,0,1,7,0,1,1
/store/shirt,Texas,,user_engagement,returning,San Antonio,2023092119,1,0,1,5,0,1,1
/store/shirt,Texas,90,scroll,returning,San Antonio,2023092111,1,0,1,4,1,1,1
/store/shirt,Texas,90,scroll,returning,San Antonio,2023092119,1,0,1,20,1,1,1
/store,Texas,90,scroll,returning,San Antonio,2023112214,1,0,1,0,2,2,2
/store/shirt,Tokyo,,user_engagement,new,Shibuya City,2023092022,1,0,1,3,0,1,1
/store/hoodie,Texas,,page_view,returning,San Antonio,2023112215,1,0,1,0,0,1,1
/store/shirt,Wisconsin,90,scroll,new,Holmen,2023092020,1,0,1,5,1,1,1
/store/patches,Texas,,page_view,returning,San Antonio,2023092413,1,0,1,0,0,1,1
/,Ohio,,page_view,new,Cincinnati,2023112216,1,0,1,0,0,1,1
/store/patches,Texas,,page_view,returning,San Antonio,2023112206,1,0,1,0,0,1,1
/store/patches,Texas,,user_engagement,returning,San Antonio,2023111720,1,0,1,8,0,1,1
/store,California,90,scroll,new,Compton,2023112220,1,0,1,20,1,1,1
/store/stickers,Tennessee,,page_view,new,Elizabethton,2023092004,1,0,1,0,0,1,1
/,(not set),,page_view,new,(not set),2023112221,1,0,1,0,0,1,1
/store/stickers,Texas,,page_view,returning,San Antonio,2023092111,1,0,1,0,0,1,1
/store,Missouri,,page_view,new,Wildwood,2023112310,1,0,1,0,0,1,1
/store/stickers,Texas,,page_view,returning,San Antonio,2023092311,1,0,1,0,0,1,1
/,California,90,scroll,new,Los Angeles,2023112318,1,0,1,0,1,1,1
/store/stickers,Texas,,user_engagement,returning,San Antonio,2023092111,1,0,1,2,0,1,1
/store/stickers,Texas,90,scroll,returning,San Antonio,2023092111,1,0,1,0,1,1,1
/store/stickers,Texas,90,scroll,returning,San Antonio,2023092121,1,0,1,0,1,1,1
/store,California,90,scroll,new,Los Angeles,2023112318,1,0,1,25,1,1,1
/store/stickers,Texas,90,scroll,returning,San Antonio,2023112206,1,0,1,0,1,1,1
/,Georgia,,user_engagement,new,LaGrange,2023112323,1,0,1,3,0,1,1
/store/stickers,Tokyo,,user_engagement,new,Shibuya City,2023092022,1,0,1,2,0,1,1
/,Georgia,90,scroll,new,LaGrange,2023112323,1,0,1,5,1,1,1
/store/t-shirts,California,,page_view,new,Anaheim,2023092315,1,0,1,0,0,1,1
/store,Georgia,,page_view,new,LaGrange,2023112323,1,0,1,0,0,1,1
/store/t-shirts,California,90,scroll,new,Anaheim,2023092315,1,0,1,4,1,1,1
/store/t-shirts,Hawaii,,page_view,new,Honolulu,2023092323,1,0,1,0,0,1,1
/store,Georgia,90,scroll,new,LaGrange,2023112323,1,0,1,33,1,1,1
/store/t-shirts,Hawaii,90,scroll,new,Honolulu,2023092323,1,0,1,0,1,1,1
/store,Texas,,page_view,returning,San Antonio,2023112509,1,0,1,0,0,1,1
/store/t-shirts,Texas,,page_view,returning,San Antonio,2023112206,1,0,1,0,0,1,1
/store/t-shirts,Texas,90,scroll,returning,San Antonio,2023092314,1,0,1,4,1,1,1
